315,MIDLAND STATION,SRT,PRSP,Signals Power Supply Related
316,CHESTER STATION,BD,TUO,Transportation Department - Other
317,LESLIE STATION,SHP,TUSC,Operator Overspeeding
318,OLD MILL STATION,BD,PUSWZ,Work Zone Problems - Signals
319,ST CLAIR WEST STATION,YU,MUATC,ATC Project
320,QUEEN STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
321,QUEEN STATION,YU,MUSC,Miscellaneous Speed Control
322,ROYAL YORK STATION,BD,MUSC,Miscellaneous Speed Control
323,COLLEGE STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
324,QUEEN STATION,YU,TUO,Transportation Department - Other
325,VAUGHAN MC STATION,YU,MUATC,ATC Project
326,KENNEDY BD STATION,BD,EUBK,Brakes
327,VAUGHAN MC STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
328,SPADINA YUS STATION,YU,SUDP,Disorderly Patron
329,SPADINA BD STATION,BD,SUDP,Disorderly Patron
330,DAVISVILLE STATION,YU,PUSSW,Track Switch Failure - Signal Related Problem
331,SHEPPARD-YONGE STATION,SHP,TUSC,Operator Overspeeding
332,LAWRENCE STATION,YU,TUSC,Operator Overspeeding
333,SPADINA BD STATION,BD,SUDP,Disorderly Patron
334,DAVISVILLE STATION,YU,MUI,Injured or ill Customer (On Train) - Transported
335,WILSON STATION,YU,PUSTS,Signals - Train Stops
336,EGLINTON WEST STATION,YU,SUO,Passenger Other
337,EGLINTON WEST STATION,YU,SUUT,Unauthorized at Track Level
338,KING STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
339,SHEPPARD-YONGE STATION,SHP,TUSC,Operator Overspeeding
340,BAYVIEW STATION,SHP,TUSC,Operator Overspeeding
341,KEELE STATION,BD,PUCSC,Signal Control Problem - Signals
342,SHEPPARD-YONGE STATION,SHP,TUO,Transportation Department - Other
343,EGLINTON STATION,YU,EUSC,Speed Control Equipment  
344,WARDEN STATION,BD,EUDO,Door Problems - Faulty Equipment
345,FINCH STATION,YU,MUPAA,Passenger Assistance Alarm Activated - No Trouble Found
346,CHESTER STATION,BD,TUSC,Operator Overspeeding
347,ROYAL YORK STATION,BD,EUAC,Air Conditioning
348,KEELE STATION,BD,PUSTS,Signals - Train Stops
349,FINCH STATION,YU,MUSAN,Unsanitary Vehicle
350,WILSON STATION,YU,MUTO,Misc. Transportation Other - Employee Non-Chargeable
351,ROSEDALE STATION,YU,SUUT,Unauthorized at Track Level
352,DUFFERIN STATION,BD,SUDP,Disorderly Patron
353,KIPLING STATION,BD,TUKEY,Two Drum Switch Keys Activated
354,YONGE BD STATION,BD,EUNT,Equipment - No Trouble Found
