3172,Warden Station,16,Utilized Off Route
3173,Kennedy and Progress,43,Investigation
3174,Eglitnon Station,54,Utilized Off Route
3175,St Clair W Stn,126,Investigation
3176,Yonge and Sandfield,95,Mechanical
3177,Oakwood and Vaughan,90,Mechanical
3178,Kingston aned Woodbine,92,Investigation
3179,Sheppard West Station,106,Mechanical
3180,keele station,41,Mechanical
3181,Davisville Station,11,Mechanical
3182,Jane and Alliance,161,Mechanical
3183,Wilson Stn,165,Investigation
3184,Runnymede Station,79,Mechanical
3185,Jane at Firgrove Cresent,600,Mechanical
3186,Eglinton and Markham,86,Mechanical
3187,EGLINTON STATION,51,Mechanical
3188,Eglinton and Midland,86,Investigation
3189,Kennedy Station,116,Utilized Off Route
3190,Greenwind Village and Bathurst,7,Mechanical
3191,Pioneer Village Station,60,Mechanical
3192,STC,133,Utilized Off Route
3193,Finch and Sentinel,36,Mechanical
3194,Jarvis Street and Queens Quay,75,Investigation
3195,Finch and Middlefield,130,Diversion
3196,York Mills Stn,95,Investigation
3197,Weston and Albion,89,Emergency Services
3198,Jane station,35,Investigation
3199,Yonge St. and York Mills Rd.,320,Mechanical
3200,Long branch loop.,315,Investigation
3201,Pioneer Village Stn,600,Emergency Services
3202,Midland/Steeles,57,Mechanical
3203,Lawrence West Station,59,Late Leaving Garage - Vision
3204,Ellesmere and Military Trail,95,Mechanical
3205,Ossington station,63,Mechanical
3206,CASTLE FRANK STATION,94,Investigation
3207,Jane and Lawrence,32,Mechanical
3208,KIPLING AND STEELES,600,Investigation
3209,Weston and Lawrence,89,Mechanical
3210,Keele St and Kalvington Dr,120,Diversion
3211,Pioneer Village stn,600,Investigation
3212,Avenue Rd,14,Diversion
3213,Davisville station,11,Mechanical
3214,Kennedy Station,20,Mechanical
3215,Meadowvale Loop,600,Utilized Off Route
3216,DON MILLS & WYNFORD DR,100,Investigation
3217,Lawrence station,124,Mechanical
3218,Finch / Norfinch,36,Mechanical
3219,BLOOR & SHERBOURN,75,Mechanical
3220,Davisville station,11,Mechanical
3221,Kennedy station,116,Emergency Services
3222,High Park Station,80,Mechanical
3223,Steeles / Victoria park,53,Mechanical
3224,Woodbine station,91,Emergency Services
3225,Wilfred,39,Investigation
3226,Plains Rd & Coxwell,8,Mechanical
3227,Humberline loop,96,Mechanical
3228,Martin Ross and Flint,117,Mechanical
3229,Ledbury and Lawrence,52,Emergency Services
3230,Davisville Station,11,Utilized Off Route
3231,SHERBOURNE and Bloor,75,Utilized Off Route
3232,wilson and petherhill,118,Investigation
3233,Old weston rd and Steeles,165,Investigation
3234,Lawrence Station,52,Mechanical
3235,Queensway Transport Office,15,Mechanical
3236,Coxwell station,70,Utilized Off Route
3237,Kennedy Station,12,Mechanical
3238,Humberline and Albion,96,Mechanical
3239,Hove St. on Sheppard,84,Investigation
3240,Bayview at Steels,11,Mechanical
3241,Morningside and Old Finch,133,Utilized Off Route
3242,BAY and Gerrard,6,Investigation
3243,Birchmount and Sheppard Ave E,85,Mechanical
3244,Sheppard West Station,117,Mechanical
3245,"On Islington, at Lakeshore",110,Mechanical
3246,Warden station,70,Utilized Off Route
3247,Humber blvd and weston,161,Diversion
3248,Pioneer Village Station,35,Late Leaving Garage - Mechanical
3249,Dufferin and Lawrence,52,Investigation
3250,Morningside and Old Finch,133,Utilized Off Route
3251,Avenue at Poplar Plains,5,Mechanical
3252,Manitoba & Nova Scotia 5run,29,Mechanical
3253,Pioneer Village Station,41,Mechanical
3254,Bathurst Station,600,Utilized Off Route
3255,Springhurst Loop,29,Utilized Off Route
3256,Eglinton Station,54,Utilized Off Route
3257,Warden Station,69,Mechanical
3258,Lawrence W Stn,163,Mechanical
3259,Pharmacy & Craigton,70,Utilized Off Route
3260,Lansdowne Station,47,Mechanical
3261,Greenwin & Bathurst,7,Mechanical
3262,Donland and Mortimer,62,Mechanical
3263,High Park Station,89,Mechanical
3264,Victoria Park Stn,24,Mechanical
3265,Jane and Steeles,35,Mechanical
3266,Eglinton at Wynford,34,Investigation
3267,Sheppard Ave E and Yonge St,98,Mechanical
3268,Lawrence Station,124,Utilized Off Route
3269,eglinton west station,32,Mechanical
3270,Kennedy/Ellesmere,95,Mechanical
3271,Bayview and Kilgour,11,Mechanical
3272,Kennedy Station,116,Utilized Off Route
3273,Morningside and Old Finch,133,Utilized Off Route
3274,Neilson and Crow trail.,601,Mechanical
3275,Scarborough Town Center,133,Utilized Off Route
3276,St Clair and Lansdowne,47,Investigation
3277,Springhurst loop,29,Mechanical
3278,Morningside and Ellesmere,116,Emergency Services
3279,Brimley and Ellesmere,95,Investigation
3280,Sheppard and Bathurst,84,Investigation
3281,Sheppard and Bathurst,84,Investigation
3282,Keele and Finch,107,Mechanical
3283,Renforth Stn,32,Mechanical
3284,Bay and College Street,6,Emergency Services
3285,Oak and CN Rail (WB) west of Yelland,59,Diversion
3286,Scott and The Esplanade,121,Diversion
3287,Finch station,42,Mechanical
3288,Steeles and Carpenter,60,Mechanical
3289,Islington and Judson,76,Diversion
3290,Victoria Pk and Sheppard,600,Utilized Off Route
3291,Warden and Ellesmere,600,Utilized Off Route
3292,Finch Stn,600,Utilized Off Route
3293,Meadowvale Loop,600,Utilized Off Route
3294,Sheppard Station,84,Mechanical
3295,Sheppard West Station,105,Mechanical
3296,Pharmacy/Ellesmere,67,Investigation
3297,Sheppard West Station,106,Utilized Off Route
3298,jane and church,35,Mechanical
3299,Eglinton & Islington,32,Investigation
3300,Humberline Loop,96,Mechanical
3301,Jane & Lawrence,32,Vision
3302,Jane and Lawrence,79,Mechanical
3303,Finch Station,42,Late Leaving Garage - Mechanical
3304,Don Mills,600,Mechanical
3305,Oakwood Loop,63,Mechanical
3306,Sheppard West Station,106,Mechanical
3307,College & Dufferin,29,Diversion
3308,Dundas west Station,168,Investigation
3309,Jane station,26,Investigation
3310,Dundas and Prince Edward,40,Mechanical
3311,Carrier Loop,96,Utilized Off Route
3312,Ellesmere RT,95,Mechanical
3313,Lawrence and Starspray,54,Mechanical
3314,Islington Stn,110,Mechanical
3315,Finch west stn,36,Mechanical
3316,Erskine and Mt Pleasant,74,Diversion
3317,North York Blvd and Yonge St,97,Investigation
3318,Kennedy station,57,Utilized Off Route
3319,Lawrence West Station,52,Mechanical
3320,Martingrove and Westway,46,Investigation
3321,Warden Station,17,Utilized Off Route
3322,Scarborough Centre Station,133,Utilized Off Route
3323,Warden Station,102,Utilized Off Route
3324,Scarborough Centre Station,133,Utilized Off Route
3325,Warden Station,17,Utilized Off Route
3326,Weston and Finch,165,Mechanical
3327,Scarborough Centre Station,133,Utilized Off Route
3328,Warden Station,102,Utilized Off Route
3329,Scarborough Centre Station,133,Utilized Off Route
3330,Kenendy station,86,Mechanical
3331,Bonnington Ave. / S.Clair Ave. E,102,Emergency Services
3332,Scarborough Centre Station,133,Utilized Off Route
3333,St. Claire west station,90,Mechanical
3334,Kennedy station,86,Utilized Off Route
3335,Scarborough Centre Station,133,Utilized Off Route
3336,Mount Dennis Garage,171,Mechanical
3337,kennedy station,43,Utilized Off Route
3338,Steeles / Donmills,53,Mechanical
3339,Scarborough Centre Station,133,Utilized Off Route
3340,Warden Station,69,Investigation
3341,Davisville Station,11,Utilized Off Route
3342,Finch stn,53,Mechanical
3343,Queen lansdowne,47,Mechanical
3344,McCowan and Finch,39,Diversion
3345,Davisville Station,11,Utilized Off Route
3346,Queensway Traffic Office,15,Mechanical
3347,Davisville Station,11,Utilized Off Route
3348,Athlantic and Liberty,63,Diversion
3349,"On Dundas, at High Park",40,Mechanical
3350,Yonge and Bloor,97,Diversion
3351,St. Clair Station,88,Mechanical
3352,Davisville Station,11,Utilized Off Route
3353,Bayview at Steels,11,Utilized Off Route
3354,SHERBOURNE and Bloor,75,Investigation
3355,SHERBOURNE - Jarvis and Queens Quay,75,Mechanical
3356,Oak and Meadow Oak Pl,59,Diversion
3357,Markham / Passmore,53,Mechanical
3358,Pape station,25,Mechanical
3359,Dufferin & Weller,29,Investigation
