2226,Spadina Station,511,Investigation
2227,Broadview and Dundas,504,Investigation
2228,Dufferin and Springhurst,504,Emergency Services
2229,BROADVIEW AND QUEEN,501,Mechanical
2230,King and John,504,Held By
2231,Broadview Station,505,Mechanical
2232,King and York,504,Investigation
2233,Exhibition Loop,511,Mechanical
2234,College and Dufferin,506,Held By
2235,Dundas West Station,506,Mechanical
2236,Broadview and Gerrard,505,Mechanical
2237,College and Crawford,506,Investigation
2238,lakeshore and Islingtion,501,Emergency Services
2239,Spadina Station,510,Mechanical
2240,king and yonge,504,Investigation
2241,HORWARD PARK AND DUNDAS,304,Investigation
2242,Leslie Barns,505,Late Leaving Garage
2243,Leslie Barns,503,Late Leaving Garage
2244,Main Station,506,Emergency Services
2245,Exhibition Loop,511,Mechanical
2246,St Clair/Old Weston,512,Investigation
2247,Parliament and Adelaide,504,Held By
2248,Parliament and Adelaide,503,Held By
2249,Spadina and Bloor,511,Investigation
2250,Dundas West Station,506,Utilized Off Route
2251,Spadina Station,511,Utilized Off Route
2252,kipling loop,501,General Delay
2253,Gerrard and Sackville,506,Investigation
2254,Main Station,506,Mechanical
2255,Queensway and Windermere,501,Investigation
2256,Queen and dunn,501,Held By
2257,Queen and Broadview,501,General Delay
2258,parliament and dundas,501,General Delay
2259,Queen and Dovercourt,501,Emergency Services
2260,King & Younge,503,Utilized Off Route
2261,queen and kingston road,503,Utilized Off Route
2262,Queen and Mccaul,501,Mechanical
2263,CNE,511,Mechanical
2264,Spadina Station,511,Mechanical
2265,Broadview and Dundas,509,Mechanical
2266,King and Spadina,504,Investigation
2267,Springhurst Loop,504,Mechanical
2268,Springhurst Loop,504,Utilized Off Route
2269,SCW Stn,512,Investigation
2270,Queen and pape,501,Investigation
2271,Queen and Coxwell,503,Investigation
2272,Bathurst and Dundas,511,Held By
2273,Queen and dufferin,501,Mechanical
2274,Dundas West Station,506,Utilized Off Route
2275,Gunns Loop,512,Held By
2276,Dundas West Station,506,Utilized Off Route
2277,Spadina station,511,Investigation
2278,Main Street Station,506,Mechanical
2279,Queen and Victoria,501,Investigation
2280,St.Clair and Keele,512,Held By
2281,Roncesvalles and Queen,501,Mechanical
2282,Queen and Connaught (Russell Trailer Track),301,Mechanical
2283,Queen/Yonge,301,Emergency Services
2284,Dundas & Broadview,505,Late Leaving Garage
2285,Dundas & Broadview,505,Late Leaving Garage
2286,King & Spadina,510,Mechanical
2287,Bathurst,501,Investigation
2288,King and Church,504,Investigation
2289,Spadina station.,510,Held By
2290,Spadina Station,511,Emergency Services
2291,Broadview Station,504,Mechanical
2292,Queen and Yonge,501,Investigation
2293,Dundas and Premboke,505,Held By
2294,Dundas st E and Sherbourne st,505,Diversion
2295,Dundas and Parliament,505,Overhead - Pantograph
2296,Exhibition Loop,511,Investigation
2297,Dovercourt,505,Emergency Services
2298,Distillery Loop,504,Mechanical
2299,Carlton and Ontario,506,Mechanical
2300,Queen St E and Greenwood Ave,501,Mechanical
2301,King and Strachan,504,Mechanical
2302,QUEEN AND CARLAW,501,Mechanical
2303,Queen and Bathurst,501,Held By
2304,Spadina Station,510,Mechanical
2305,Spadina And King,510,Late Leaving Garage
2306,Queen/Jarvis,501,Mechanical
2307,Queen/Greenwood,501,Mechanical
2308,Charlotte Loop,510,Mechanical
2309,Queen/Greenwood,501,Mechanical
2310,Dundas and Beverley,505,Emergency Services
2311,Broadview Station,505,Mechanical
2312,CNE,509,Mechanical
2313,Bay and Queen,501,Mechanical
2314,Charlotte Loop,510,Mechanical
2315,Broadview and Dundas,505,Investigation
2316,QUEEN AND PARLIAMENT.,501,Mechanical
2317,QUEEN AND JONES,501,Mechanical
2318,ST.CLAIR STATION,512,Emergency Services
2319,NEVILLE LOOP,501,Utilized Off Route
2320,LAKESHORE AND ISLINGTON,501,Mechanical
2321,Bathurst and Niagara,511,Investigation
2322,Dufferin and King,504,Mechanical
2323,Queen & Carlaw,501,Emergency Services
2324,Dundas West Station,506,Investigation
2325,Dufferin and Liberty,504,Held By
2326,Queen and Broadview,501,Held By
2327,Queen and Grant,503,Held By
2328,Bingham Loop,503,Mechanical
2329,ST.CLAIR AND AVENUE,512,Held By
2330,Spadina Station,511,Utilized Off Route
2331,long branch loop,301,Emergency Services
2332,Queen and Broadview,504,Investigation
2333,Exhibition Loop,511,Investigation
2334,Queen Quay and York,509,Held By
2335,Queens Quay/York st,510,Investigation
2336,Dundas and Roncesvalles,506,Investigation
2337,Neville Loop,501,Emergency Services
2338,Long branch loop,501,Emergency Services
2339,Dundas West Station,506,Mechanical
2340,Spadina and Front,511,Diversion
2341,Queen and Sackville,501,Held By
2342,CNE,511,Investigation
2343,Spadina Station,510,Mechanical
2344,Gerrard at Sumach,506,Investigation
2345,Dundas at Lansdowne,505,Mechanical
2346,QUEEN AND COXWELL,301,Held By
2347,Bathurst Street and Robinson St.,511,Investigation
2348,Fleet Street and Fort York Street,511,Mechanical
2349,Spadina and Dundas Street,510,Mechanical
2350,King/Peter,504,General Delay
2351,Queen/Parliament,501,Mechanical
2352,Braodview Station,505,Mechanical
2353,Coxwell Gerrard,506,Investigation
2354,Parliament Gerrard,506,Mechanical
2355,Main Station,506,Mechanical
2356,Spadina and Queensquay,510,Investigation
2357,Dundas and Sherborne,505,Held By
2358,Neville Loop,501,Emergency Services
2359,St Clair Stn,512,Emergency Services
2360,College and Lansdown,506,Mechanical
2361,Queen & Wineva,501,Mechanical
2362,Charolette Loop,705,Emergency Services
2363,Dufferin and King,504,Held By
2364,Spadina and Harbord,510,Mechanical
2365,Roncy & Queen,504,Mechanical
2366,Oakwood Loop,512,Mechanical
2367,Bathurst and Harbord,511,Investigation
2368,Longbranch Loop,301,Investigation
2369,DUNDAS WEST STATION,304,Investigation
2370,Dundas Street West Beverley,505,Mechanical
2371,Dundas and Yonge,505,Mechanical
2372,Humber Loop,501,Mechanical
2373,Bloor and Roncesvalles,505,Held By
2374,Bloor and Dundas,504,Held By
2375,Bathurst Station,511,Utilized Off Route
2376,Bathurst Station,511,Utilized Off Route
2377,Bathurst Station,511,Utilized Off Route
2378,College and Yonge,506,Held By
2379,Ellis Avenue and Queensway,501,Mechanical
2380,Russel Hill and St. Clair,512,Mechanical
2381,Spadina and Dan Lackie Way,510,Investigation
2382,Sunnyside Loop,501,Investigation
2383,Dundas West Station,306,Investigation
2384,DUNDAS WEST STATION,304,Mechanical
2385,Queensquay W and Spadina Rd,509,Investigation
2386,Bathurst and Fleet,509,Mechanical
2387,Dundas Church,505,Overhead - Pantograph
2388,Dundas College,505,Mechanical
2389,Carlaw and Queen,501,Investigation
2390,High park Loop,506,Mechanical
2391,Dundas and Sumach,505,Mechanical
2392,CNE Loop,509,Investigation
2393,Greenwood and Queen,501,Investigation
2394,CNE Loop,509,Investigation
2395,Queen & University,501,Investigation
2396,Broadview STN,505,Mechanical
2397,Queen and Parliament,506,Mechanical
2398,Main STN,506,Mechanical
2399,Main Station,306,Mechanical
2400,Neville Loop,301,Investigation
2401,Neville Loop,501,Held By
2402,Broadview/Dundas,505,Investigation
2403,Queen/Broadview,504,Investigation
2404,Exibition Loop,511,Utilized Off Route
2405,Exibition loop,511,Utilized Off Route
2406,St Clair/Bathurst,501,Mechanical
2407,Distillery loop,504,Investigation
2408,Dundas and Broadview,505,Mechanical
2409,Exibition Loop,511,Mechanical
2410,Carlton and Jarvis,506,Mechanical
2411,Dundas and McCaul,505,Mechanical
2412,King and Shaw,504,Mechanical
2413,Queen & Parliament,501,Mechanical
2414,Carlton and Yonge,506,Investigation
2415,Dundas and Roncesvalles,505,Emergency Services
2416,Dundas W. Station,505,Mechanical
2417,Bathurst Station,511,Mechanical
2418,Dundas and Landsdowne,505,Mechanical
2419,Spadina and College,506,Mechanical
2420,Spadina and Front,510,Investigation
2421,Humber loop,501,Mechanical
2422,Humber Loop,501,Mechanical
2423,King/Peter,504,Held By
2424,Spadina and Queensquay,510,Mechanical
2425,Broadview and Gerrard,505,Overhead - Pantograph
2426,Neville Loop,501,Mechanical
2427,Queen & Coxwell,501,Mechanical
2428,King and Spadina,504,Investigation
2429,Queen & Gladstone,501,Held By
2430,High Park Loop,506,Mechanical
2431,Spadina and Spadina Circle,705,Investigation
2432,Bathurst and King,511,Mechanical
2433,CNE Loop,511,Mechanical
2434,Queen and Ossington,504,Held By
2435,Queen and Ossington,501,Investigation
2436,Queen and Neville Loop,501,Investigation
2437,Lakeshore west and Mimico,301,Investigation
2438,Broadview and Gerrard,306,Investigation
2439,Dundas West Station,505,Investigation
2440,ST Clair Stn,512,Investigation
2441,Queen/Greenwood,501,Mechanical
2442,Broadview station,504,Mechanical
2443,Dundas and Broadview,505,Mechanical
2444,Spadina and Colllege Street,510,Investigation
2445,St Clair/Oakwood,512,Investigation
2446,Queen & Wineva,501,Held By
2447,CNE LOOP,511,Mechanical
2448,Queen & Coxwell.,501,Mechanical
2449,College and Dovercourt,506,Held By
2450,Bathurst Station,511,Utilized Off Route
2451,Dundas and Chestnut,505,Mechanical
2452,Neville Loop,501,Mechanical
2453,Queen and Roncy,501,Mechanical
2454,Parliament and Shuter,506,Emergency Services
2455,Spadina and Queen's Quay,510,Utilized Off Route
